<Date>,<Close>,<Target>,<DayOfWeek>,<DayOfMonth>,<IsWeekend>,<IsStartOfWeek>,<PWA>,<PMA>
2009-10-20,1010,1009,1,20,0,0,1020.43,990.40
2009-10-21,1009,1010,2,21,0,0,1016.43,991.40
2009-10-24,1010,1036,5,24,1,0,1012.14,992.70
2009-10-25,1036,1057,6,25,1,0,1009.43,994.50
2009-10-26,1057,1071,0,26,0,1,1011.86,997.33
2009-10-27,1071,1090,1,27,0,0,1018.71,999.97
2009-10-28,1090,1103,2,28,0,0,1027.57,1003.50
2009-10-31,1103,1107,5,31,1,0,1040.43,1007.23
2009-11-01,1107,1112,6,1,1,0,1053.71,1011.60
2009-11-02,1112,1120,0,2,0,1,1067.71,1016.37
2009-11-03,1120,1130,1,3,0,0,1082.29,1020.83
2009-11-04,1130,1152,2,4,0,0,1094.29,1026.23
2009-11-07,1152,1180,5,7,1,0,1104.71,1032.20
2009-11-08,1180,1156,6,8,1,0,1116.29,1037.60
2009-11-09,1156,1117,0,9,0,1,1129.14,1044.27
2009-11-10,1117,1148,1,10,0,0,1136.71,1050.13
2009-11-11,1148,1145,2,11,0,0,1138.14,1054.37
2009-11-14,1145,1128,5,14,1,0,1143.29,1059.67
2009-11-15,1128,1120,6,15,1,0,1146.86,1064.83
2009-11-16,1120,1100,0,16,0,1,1146.57,1069.27
2009-11-17,1100,1084,1,17,0,0,1142.00,1073.27
2009-11-18,1084,1078,2,18,0,0,1130.57,1076.63
2009-11-21,1078,1078,5,21,1,0,1120.29,1078.87
2009-11-22,1078,1076,6,22,1,0,1114.71,1080.20
2009-11-23,1076,1076,0,23,0,1,1104.71,1081.53
2009-11-24,1076,1077,1,24,0,0,1094.86,1082.77
2009-11-25,1077,1059,2,25,0,0,1087.43,1084.33
2009-11-29,1059,1059,6,29,1,0,1081.29,1086.27
2009-11-30,1059,1059,0,30,0,1,1075.43,1087.93
2009-12-01,1059,1058,1,1,0,0,1071.86,1089.60
2009-12-02,1058,1058,2,2,0,0,1069.14,1091.57
2009-12-05,1058,1058,5,5,1,0,1066.29,1093.17
2009-12-07,1058,1057,0,7,0,1,1063.71,1094.80
2009-12-08,1057,1056,1,8,0,0,1061.14,1096.40
2009-12-12,1056,1056,5,12,1,0,1058.29,1097.10
2009-12-14,1056,1056,0,14,0,1,1057.86,1097.07
2009-12-15,1056,1056,1,15,0,0,1057.43,1096.57
2009-12-16,1056,1056,2,16,0,0,1057.00,1095.43
2009-12-19,1056,1056,5,19,1,0,1056.71,1093.87
2009-12-20,1056,1056,6,20,1,0,1056.43,1092.17
2009-12-21,1056,1056,0,21,0,1,1056.14,1090.30
2009-12-22,1056,1056,1,22,0,0,1056.00,1088.17
2010-01-02,1056,1050,5,2,1,0,1056.00,1085.70
2010-01-03,1050,1020,6,3,1,0,1056.00,1082.50
2010-01-04,1020,1020,0,4,0,1,1055.14,1078.17
2010-01-05,1020,1030,1,5,0,0,1050.00,1073.63
2010-01-06,1030,1035,2,6,0,0,1044.86,1070.40
2010-01-09,1035,1021,5,9,1,0,1041.14,1066.47
2010-01-10,1021,1025,6,10,1,0,1038.14,1062.80
2010-01-11,1025,1024,0,11,0,1,1033.14,1059.23
2010-01-16,1024,1010,5,16,1,0,1028.71,1056.07
2010-01-17,1010,1019,6,17,1,0,1025.00,1053.53
2010-01-18,1019,1020,0,18,0,1,1023.57,1051.07
2010-01-19,1020,1028,1,19,0,0,1023.43,1049.10
2010-01-20,1028,1030,2,20,0,0,1022.00,1047.17
2010-01-23,1030,1030,5,23,1,0,1021.00,1045.57
2010-01-24,1030,1026,6,24,1,0,1022.29,1044.03
2010-01-25,1026,1030,0,25,0,1,1023.00,1042.47
2010-01-26,1030,1028,1,26,0,0,1023.29,1041.37
2010-01-27,1028,1023,2,27,0,0,1026.14,1040.40
2010-01-30,1023,1021,5,30,1,0,1027.43,1039.37
2010-01-31,1021,1030,6,31,1,0,1027.86,1038.20
2010-02-01,1030,1035,0,1,0,1,1026.86,1036.97
2010-02-02,1035,1034,1,2,0,0,1026.86,1036.03
2010-02-03,1034,1044,2,3,0,0,1027.57,1035.30
2010-02-06,1044,1050,5,6,1,0,1028.71,1034.57
2010-02-07,1050,1050,6,7,1,0,1030.71,1034.17
2010-02-08,1050,1060,0,8,0,1,1033.86,1033.97
2010-02-09,1060,1059,1,9,0,0,1037.71,1033.77
2010-02-10,1059,1062,2,10,0,0,1043.29,1033.90
2010-02-14,1062,1062,6,14,1,0,1047.43,1034.00
2010-02-16,1062,1070,1,16,0,0,1051.29,1034.20
2010-02-17,1070,1060,2,17,0,0,1055.29,1034.40
2010-02-20,1060,1055,5,20,1,0,1059.00,1034.87
2010-02-21,1055,1065,6,21,1,0,1060.43,1035.20
2010-02-22,1065,1079,0,22,0,1,1061.14,1036.37
